"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_should_successfull_change_transport",""
"broken","Tue Sep 30 19:50:20 UTC 2025","Tue Sep 30 19:50:20 UTC 2025","0","tests.integration.city_serv","test_update_non_existing_city_it","","","","test_update_non_existing_city_raises",""
"passed","Tue Sep 30 19:49:23 UTC 2025","Tue Sep 30 19:49:23 UTC 2025","1","tests.unit","test_m_user_service","","","","test_add_user_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_accommodations_by_travel_error",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_accommodation_service","","","","test_should_succesfull_get_existed_accommodation_by_id",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_get_routes_by_user_and_status_and_type",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_link_accommodations_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_should_successfull_get_by_cities",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_route_service","","","","test_should_successfull_get_route_by_id",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_travel_by_route_id_success",""
"broken","Tue Sep 30 19:50:16 UTC 2025","Tue Sep 30 19:50:16 UTC 2025","0","tests.integration.acc_serv","test_update_existen_acc_it","","","","test_update_existing_accommodation",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_travels_for_user_error",""
"broken","Tue Sep 30 19:50:21 UTC 2025","Tue Sep 30 19:50:21 UTC 2025","0","tests.integration.d_route_serv","test_get_by_id_non_existen_d_route_it","","","","test_get_directory_route_by_id_not_found",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_entertainment_service","","","","test_add_failure",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","4","tests.unit","test_m_travel_service","","","","test_update_travel_not_found",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_add_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:21 UTC 2025","265","tests.unit","test_m_user_service","","","","test_registrate_failure_duplicate",""
"broken","Tue Sep 30 19:50:27 UTC 2025","Tue Sep 30 19:50:27 UTC 2025","0","tests.integration.route_serv","test_add_route_it","","","","test_update_route_success",""
"broken","Tue Sep 30 19:50:37 UTC 2025","Tue Sep 30 19:50:37 UTC 2025","0","tests.integration.user_serv","test_delete_user_it","","","","test_delete_user_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","4","tests.unit","test_m_travel_service","","","","test_get_all_travels_empty",""
"broken","Tue Sep 30 19:50:14 UTC 2025","Tue Sep 30 19:50:14 UTC 2025","0","tests.integration.acc_serv","test_delete_non_existen_acc_it","","","","test_delete_non_existing_accommodation_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_change_transport",""
"broken","Tue Sep 30 19:50:33 UTC 2025","Tue Sep 30 19:50:33 UTC 2025","0","tests.integration.travel_serv","test_get_acc_by_travel_err_it","","","","test_get_accommodations_by_travel_error",""
"broken","Tue Sep 30 19:50:33 UTC 2025","Tue Sep 30 19:50:33 UTC 2025","0","tests.integration.travel_serv","test_get_by_id_travel_it","","","","test_get_by_id_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_users_by_travel_error",""
"broken","Tue Sep 30 19:50:15 UTC 2025","Tue Sep 30 19:50:15 UTC 2025","0","tests.integration.acc_serv","test_get_by_id_non_existen_acc_it","","","","test_get_accommodation_by_id_not_found",""
"broken","Tue Sep 30 19:50:23 UTC 2025","Tue Sep 30 19:50:23 UTC 2025","0","tests.integration.ent_serv","test_add_ent_it","","","","test_add_duplicate_name_entertainment_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_travel_by_route_id_not_found",""
"broken","Tue Sep 30 19:50:17 UTC 2025","Tue Sep 30 19:50:17 UTC 2025","0","tests.integration.city_serv","test_add_city_success_it","","","","test_add_city_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_entertainments_by_travel_error",""
"broken","Tue Sep 30 19:50:38 UTC 2025","Tue Sep 30 19:50:38 UTC 2025","0","tests.integration.user_serv","test_get_non_existent_user_it","","","","test_get_user_by_id_not_found",""
"broken","Tue Sep 30 19:50:18 UTC 2025","Tue Sep 30 19:50:18 UTC 2025","0","tests.integration.city_serv","test_get_all_cities_success_it","","","","test_get_all_cities_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_delete_route",""
"broken","Tue Sep 30 19:50:36 UTC 2025","Tue Sep 30 19:50:36 UTC 2025","0","tests.integration.user_serv","test_auth_it","","","","test_authenticate_with_hashed_password_success",""
"broken","Tue Sep 30 19:50:25 UTC 2025","Tue Sep 30 19:50:25 UTC 2025","0","tests.integration.ent_serv","test_get_by_id_non_existen_ent_it","","","","test_get_entertainment_by_id_not_found",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_city_service","","","","test_service_should_throw_exception_at_delete_not_existed_city",""
"broken","Tue Sep 30 19:50:15 UTC 2025","Tue Sep 30 19:50:15 UTC 2025","0","tests.integration.acc_serv","test_get_empty_list_acc_it","","","","test_get_empty_list_accommodations",""
"passed","Tue Sep 30 19:49:21 UTC 2025","Tue Sep 30 19:49:21 UTC 2025","2","tests.unit","test_m_user_service","","","","test_should_succesfull_get_existed_user_by_id",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_city_service","","","","test_service_should_successfull_delete_existed_city",""
"broken","Tue Sep 30 19:50:26 UTC 2025","Tue Sep 30 19:50:26 UTC 2025","0","tests.integration.ent_serv","test_update_existen_ent_it","","","","test_update_non_existing_entertainment_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_update_failure",""
"broken","Tue Sep 30 19:50:20 UTC 2025","Tue Sep 30 19:50:20 UTC 2025","0","tests.integration.d_route_serv","test_add_existen_d_route_it","","","","test_add_duplicate_directory_route_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_should_successfull_add_d_route",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_entertainment_service","","","","test_get_list_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_service_should_throw_exception_at_change_transport",""
"broken","Tue Sep 30 19:50:13 UTC 2025","Tue Sep 30 19:50:13 UTC 2025","0","tests.integration.acc_serv","test_add_acc_it","","","","test_add_accommodation_success",""
"broken","Tue Sep 30 19:50:35 UTC 2025","Tue Sep 30 19:50:35 UTC 2025","0","tests.integration.travel_serv","test_update_non_existen_travel_it","","","","test_add_travel_duplicate_id",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_route_service","","","","test_should_throw_exception_at_add_duplicate",""
"broken","Tue Sep 30 19:50:21 UTC 2025","Tue Sep 30 19:50:21 UTC 2025","0","tests.integration.d_route_serv","test_get_by_id_d_route_it","","","","test_get_directory_route_by_id_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_update_route",""
"broken","Tue Sep 30 19:50:15 UTC 2025","Tue Sep 30 19:50:15 UTC 2025","0","tests.integration.acc_serv","test_get_by_id_it","","","","test_get_accommodation_by_id_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_get_list_success",""
"broken","Tue Sep 30 19:50:31 UTC 2025","Tue Sep 30 19:50:31 UTC 2025","0","tests.integration.travel_serv","test_add_existen_travel_it","","","","test_add_travel_duplicate_id",""
"broken","Tue Sep 30 19:50:39 UTC 2025","Tue Sep 30 19:50:39 UTC 2025","0","tests.integration.user_serv","test_register_it","","","","test_register_user_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_update_success",""
"broken","Tue Sep 30 19:50:36 UTC 2025","Tue Sep 30 19:50:36 UTC 2025","0","tests.integration.user_serv","test_add_user_it","","","","test_add_user_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","7","tests.unit","test_m_travel_service","","","","test_complete_travel_error",""
"broken","Tue Sep 30 19:50:38 UTC 2025","Tue Sep 30 19:50:38 UTC 2025","0","tests.integration.user_serv","test_get_empty_list_it","","","","test_get_user_list_empty",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_entertainment_service","","","","test_update_success",""
"broken","Tue Sep 30 19:50:28 UTC 2025","Tue Sep 30 19:50:28 UTC 2025","0","tests.integration.route_serv","test_delete_non_existen_route_it","","","","test_delete_non_existing_route_raises",""
"broken","Tue Sep 30 19:50:16 UTC 2025","Tue Sep 30 19:50:16 UTC 2025","0","tests.integration.acc_serv","test_get_list_acc_it","","","","test_get_all_accommodations_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_entertainment_service","","","","test_add_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_delete_city_from_route",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","264","tests.unit","test_m_user_service","","","","test_service_should_registrate_user",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","4","tests.unit","test_m_travel_service","","","","test_delete_travel_success",""
"broken","Tue Sep 30 19:50:35 UTC 2025","Tue Sep 30 19:50:35 UTC 2025","0","tests.integration.travel_serv","test_update_travel_it","","","","test_update_travel_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","30","tests.unit","test_m_city_service","","","","test_service_should_call_get_by_id_on_repository",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_link_accommodations_error",""
"broken","Tue Sep 30 19:50:24 UTC 2025","Tue Sep 30 19:50:24 UTC 2025","0","tests.integration.ent_serv","test_get_by_id_ent_it","","","","test_get_entertainment_by_id_success",""
"broken","Tue Sep 30 19:50:38 UTC 2025","Tue Sep 30 19:50:38 UTC 2025","0","tests.integration.user_serv","test_get_list_it","","","","test_get_user_list_returns_all",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_throw_exception_when_get_by_id_fails",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_search_travels_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_city_service","","","","test_should_succesfull_update_existed_city_by_id",""
"broken","Tue Sep 30 19:50:36 UTC 2025","Tue Sep 30 19:50:36 UTC 2025","0","tests.integration.user_serv","test_add_existent_user_it","","","","test_add_duplicate_user_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_service_should_throw_exception_at_delete_not_existed_d_route",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_throw_exception_at_delete_city_from_route",""
"broken","Tue Sep 30 19:50:31 UTC 2025","Tue Sep 30 19:50:31 UTC 2025","0","tests.integration.travel_serv","test_add_travel_it","","","","test_add_travel_duplicate_id",""
"broken","Tue Sep 30 19:50:25 UTC 2025","Tue Sep 30 19:50:25 UTC 2025","0","tests.integration.ent_serv","test_get_empty_list_ent_it","","","","test_get_empty_list_entertainments",""
"broken","Tue Sep 30 19:50:22 UTC 2025","Tue Sep 30 19:50:22 UTC 2025","0","tests.integration.d_route_serv","test_get_empty_list_d_route_it","","","","test_get_empty_list",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_entertainment_service","","","","test_update_failure",""
"broken","Tue Sep 30 19:50:22 UTC 2025","Tue Sep 30 19:50:22 UTC 2025","0","tests.integration.d_route_serv","test_update_d_route_it","","","","test_update_directory_route_success",""
"broken","Tue Sep 30 19:50:14 UTC 2025","Tue Sep 30 19:50:14 UTC 2025","0","tests.integration.acc_serv","test_add_exsisten_acc_it","","","","test_add_duplicate_name_accommodation_raises",""
"broken","Tue Sep 30 19:50:34 UTC 2025","Tue Sep 30 19:50:34 UTC 2025","0","tests.integration.travel_serv","test_link_travel_with_table_it","","","","test_link_entertainments_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_get_routes_by_type",""
"broken","Tue Sep 30 19:50:18 UTC 2025","Tue Sep 30 19:50:18 UTC 2025","0","tests.integration.city_serv","test_delete_non_existing_city_it","","","","test_delete_non_existing_city_raises",""
"passed","Tue Sep 30 19:49:21 UTC 2025","Tue Sep 30 19:49:21 UTC 2025","1","tests.unit","test_m_user_service","","","","test_service_should_throw_exception_at_delete_not_existed_user",""
"passed","Tue Sep 30 19:49:22 UTC 2025","Tue Sep 30 19:49:23 UTC 2025","789","tests.unit","test_m_user_service","","","","test_verify_password_and_hash",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_add_route",""
"broken","Tue Sep 30 19:50:18 UTC 2025","Tue Sep 30 19:50:18 UTC 2025","0","tests.integration.city_serv","test_get_all_cities_empty_list_it","","","","test_get_all_cities_empty_list",""
"broken","Tue Sep 30 19:50:17 UTC 2025","Tue Sep 30 19:50:17 UTC 2025","0","tests.integration.city_serv","test_delete_existing_city_it","","","","test_delete_existing_city",""
"broken","Tue Sep 30 19:50:40 UTC 2025","Tue Sep 30 19:50:40 UTC 2025","0","tests.integration.user_serv","test_wrong_register_it","","","","test_register_user_duplicate_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_city_service","","","","test_service_should_throw_exception_at_get_not_existed_city",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_get_route_parts",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_directory_route_service","","","","test_should_successfull_delete_existed_d_route",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_throw_exception_at_delete_not_existed",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_entertainment_service","","","","test_get_list_failure",""
"broken","Tue Sep 30 19:50:16 UTC 2025","Tue Sep 30 19:50:16 UTC 2025","0","tests.integration.acc_serv","test_update_acc_it","","","","test_update_accommodation_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_delete_success",""
"broken","Tue Sep 30 19:50:21 UTC 2025","Tue Sep 30 19:50:21 UTC 2025","0","tests.integration.d_route_serv","test_delete_non_existen_d_route_it","","","","test_delete_non_existing_directory_route_raises",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_directory_route_service","","","","test_should_successfull_update_existed_d_route_by_id",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_get_entertainments_by_travel_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_service_should_throw_exception_at_get_by_cities",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_search_travels_not_found",""
"broken","Tue Sep 30 19:50:26 UTC 2025","Tue Sep 30 19:50:26 UTC 2025","0","tests.integration.ent_serv","test_update_ent_it","","","","test_update_existing_entertainment",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_entertainment_service","","","","test_get_by_id_failure",""
"broken","Tue Sep 30 19:50:19 UTC 2025","Tue Sep 30 19:50:19 UTC 2025","0","tests.integration.city_serv","test_get_exiting_city_it","","","","test_get_existing_city",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_delete_failure",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_city_service","","","","test_get_all_cities_failure",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_entertainment_service","","","","test_should_succesfull_get_existed_entertainment_by_id",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_link_entertainments_error",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_city_service","","","","test_service_should_call_get_list_on_repository",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_city_service","","","","test_should_succesfull_get_cities",""
"broken","Tue Sep 30 19:50:22 UTC 2025","Tue Sep 30 19:50:22 UTC 2025","0","tests.integration.d_route_serv","test_get_list_d_route_it","","","","test_get_list_directory_routes",""
"broken","Tue Sep 30 19:50:25 UTC 2025","Tue Sep 30 19:50:25 UTC 2025","0","tests.integration.ent_serv","test_get_list_ent_it","","","","test_get_all_entertainments_success",""
"passed","Tue Sep 30 19:49:21 UTC 2025","Tue Sep 30 19:49:21 UTC 2025","1","tests.unit","test_m_user_service","","","","test_service_should_throw_exception_at_update_not_existed_user",""
"broken","Tue Sep 30 19:50:37 UTC 2025","Tue Sep 30 19:50:37 UTC 2025","0","tests.integration.user_serv","test_delete_non_existen_user_it","","","","test_delete_non_existent_user",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","4","tests.unit","test_m_travel_service","","","","test_delete_travel_not_found",""
"broken","Tue Sep 30 19:50:27 UTC 2025","Tue Sep 30 19:50:27 UTC 2025","0","tests.integration.route_serv","test_change_transport_it","","","","test_change_transport_success",""
"broken","Tue Sep 30 19:50:28 UTC 2025","Tue Sep 30 19:50:28 UTC 2025","0","tests.integration.route_serv","test_delete_route_it","","","","test_delete_route_success",""
"passed","Tue Sep 30 19:49:23 UTC 2025","Tue Sep 30 19:49:23 UTC 2025","1","tests.unit","test_m_user_service","","","","test_add_user_failure_duplicate",""
"broken","Tue Sep 30 19:50:33 UTC 2025","Tue Sep 30 19:50:33 UTC 2025","0","tests.integration.travel_serv","test_get_by_id_non_existen_travel_it","","","","test_get_by_id_not_found",""
"broken","Tue Sep 30 19:50:24 UTC 2025","Tue Sep 30 19:50:24 UTC 2025","0","tests.integration.ent_serv","test_delete_ent_it","","","","test_delete_existing_entertainment",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_directory_route_service","","","","test_service_should_throw_exception_at_update_not_existed_d_route",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_route_service","","","","test_should_successfull_insert_city_after",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_should_failed_get_list",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_directory_route_service","","","","test_service_should_throw_exception_at_add_duplicate_d_route",""
"passed","Tue Sep 30 19:49:21 UTC 2025","Tue Sep 30 19:49:21 UTC 2025","1","tests.unit","test_m_user_service","","","","test_service_should_successfull_delete_existed_user",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","3","tests.unit","test_m_travel_service","","","","test_link_users_error",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","83","tests.unit","test_m_travel_service","","","","test_get_all_travels_success",""
"broken","Tue Sep 30 19:50:31 UTC 2025","Tue Sep 30 19:50:31 UTC 2025","0","tests.integration.route_serv","test_update_route_it","","","","test_update_route_success",""
"passed","Tue Sep 30 19:49:21 UTC 2025","Tue Sep 30 19:49:21 UTC 2025","527","tests.unit","test_m_user_service","","","","test_should_succesfull_login_existed_user_with_right_password",""
"broken","Tue Sep 30 19:50:29 UTC 2025","Tue Sep 30 19:50:29 UTC 2025","0","tests.integration.route_serv","test_get_by_id_route_it","","","","test_get_route_by_id_success",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_entertainment_service","","","","test_service_should_throw_exception_at_delete_not_existed_entertainment",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","1","tests.unit","test_m_city_service","","","","test_service_should_throw_exception_at_update_not_existed_city",""
"passed","Tue Sep 30 19:49:20 UTC 2025","Tue Sep 30 19:49:20 UTC 2025","0","tests.unit","test_m_accommodation_service","","","","test_get_by_id_failure",""
